"#";"Name";"Manufacturer";"Quantity"
"1";"CAP100";"";"35"
"2";"LED";"";"1"
"3";"LTS-4801";"Lite-On Optoelectronics";"2"
"4";"HDR-2x5";"";"3"
"5";"HDR-1x4";"";"1"
"6";"HDR-2x20";"";"1"
"7";"PJ-037A";"CUI INC";"1"
"8";"HDR-2x4";"";"1"
"9";"IDE_HDR-2x20";"";"1"
"10";"HDR-1x2";"";"2"
"11";"RES16DIPI";"";"3"
"12";"RES500";"";"4"
"13";"RES11SIPB";"";"4"
"14";"RES400";"";"1"
"15";"74AHC273D,118";"Philips/NXP";"3"
"16";"DS1233-Reset";"";"1"
"17";"TactSwitch";"";"2"
"18";"LTA-1000HR";"LED10BAR";"1"
"19";"AS6C4008-SRAM";"";"2"
"20";"MC68000PLCC";"";"1"
"21";"SST39SF010A EEPROM";"";"2"
"22";"SUPERVISOR_CPLD-1508";"";"1"
"23";"ST16C2550";"";"1"
"24";"SN74HCT245N";"Texas Instruments";"5"
"25";"SN74HCT244N";"Texas Instruments";"2"
"26";"SN74HC157N";"Texas Instruments";"3"
"27";"72SIMM-DRAM";"";"1"
"28";"DS12887";"";"1"
"29";"82C54-PLCC";"";"1"
"30";"INTDRAM-1508AS";"Atmel";"1"
"31";"LOGICA";"";"1"
"32";"XO08";"CN Electronics";"2"
